,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
107,Konganapuram,100,IN,1563738904,85,11.58,77.92,76.29,9.4
108,Sun Valley,5,US,1563738605,33,43.7,-114.35,82.99,6.93
109,Gongzhuling,57,CN,1563738904,93,43.5,124.81,67.47,8.28
110,Coahuayana,93,MX,1563738904,65,18.62,-100.35,86.91,1.1
111,Swift Current,1,CA,1563738631,43,50.29,-107.8,73.4,11.41
112,Laguna,75,BZ,1563738905,70,16.17,-88.94,86.0,9.17
113,Mattawa,75,CA,1563738905,47,46.32,-78.7,77.0,11.41
114,Canyon,1,US,1563738905,28,34.98,-101.92,95.0,6.93
115,Mahajanga,0,MG,1563738906,50,-15.72,46.32,75.2,8.05
116,Torbay,90,CA,1563738906,93,47.66,-52.73,53.01,14.99
117,Burnie,100,AU,1563738906,75,-41.05,145.91,53.01,1.99
118,Tala,75,MX,1563738907,53,20.65,-103.7,77.0,2.62
119,Meulaboh,100,ID,1563738907,71,4.14,96.13,81.33,8.55
120,Cape Town,0,ZA,1563738802,47,-33.93,18.42,59.0,2.24
121,Yangambi,61,CD,1563738907,89,0.77,24.47,72.69,1.59
122,Fort Smith,1,US,1563738692,44,35.39,-94.42,99.0,8.05
123,Victoria,75,BN,1563738908,94,5.28,115.24,78.8,1.12
124,Mahebourg,20,MU,1563738908,88,-20.41,57.7,70.0,6.93
125,Bilma,74,NE,1563738908,9,18.69,12.92,96.45,5.21
126,Dwarka,40,IN,1563738908,94,28.58,77.04,88.0,5.88
127,Mehamn,0,NO,1563738909,71,71.03,27.85,59.0,14.99
128,Faanui,44,PF,1563738909,81,-16.48,-151.75,77.55,19.35
129,Tasiilaq,3,GL,1563738909,58,65.61,-37.64,53.6,10.29
130,Piranshahr,38,IR,1563738909,27,36.7,45.14,64.05,1.57
131,Mackay,20,CA,1563738910,53,53.65,-115.58,73.4,14.99
132,Avera,40,US,1563738910,46,33.19,-82.53,96.01,5.82
133,Tautira,75,PF,1563738910,61,-17.73,-149.15,78.8,3.36
134,Poum,20,MK,1563738911,77,41.28,20.71,64.4,5.82
135,Badami,100,IN,1563738911,84,15.92,75.68,75.39,12.59
136,Sri Aman,100,MY,1563738911,100,1.24,111.46,75.2,2.24
137,Margate,75,AU,1563738912,76,-43.03,147.26,52.0,9.17
138,Izhma,99,RU,1563738912,92,65.01,53.91,55.95,7.52
139,Coffs Harbour,0,AU,1563738871,93,-30.3,153.13,46.0,5.82
140,Okahandja,0,NA,1563738912,9,-21.98,16.91,62.6,3.36
141,Tornio,0,FI,1563738913,68,61.12,27.27,66.2,4.7
142,Brownsville,1,US,1563738683,41,25.91,-97.49,96.8,14.99
143,Migori,50,KE,1563738913,75,-1.07,34.47,71.97,11.54
144,Severo-Kurilsk,100,RU,1563738913,96,50.68,156.12,45.33,14.29
145,Skjervoy,0,NO,1563738914,67,70.03,20.97,68.0,2.24
146,Ilulissat,20,GL,1563738914,44,69.22,-51.1,60.8,8.05
147,Fayaoue,95,NC,1563738914,65,-20.65,166.53,70.89,13.8
148,Todos Santos,40,MX,1563738915,51,23.45,-110.23,91.99,17.22
149,Starodub,0,RU,1563738915,82,52.58,32.76,61.71,1.25
150,Saint-Pierre,0,FR,1563738915,53,48.95,4.24,77.0,4.7
151,East London,0,ZA,1563738915,21,-33.02,27.91,49.47,4.52
152,Dingle,100,PH,1563738916,86,11.0,122.67,75.21,2.42
153,Yellowknife,40,CA,1563738916,50,62.45,-114.38,75.2,12.75
154,Sur,0,OM,1563738916,80,22.57,59.53,76.83,13.67
155,Kaitangata,33,NZ,1563738916,93,-46.28,169.85,45.0,1.99
156,Norman Wells,90,CA,1563738917,76,65.28,-126.83,57.2,10.29
157,Chuy,39,UY,1563738819,77,-33.69,-53.46,67.65,12.35
158,Haines Junction,100,CA,1563738917,92,60.75,-137.51,50.73,3.58
159,Chokurdakh,100,RU,1563738917,91,70.62,147.9,37.59,17.67
160,Nyurba,0,RU,1563738917,71,63.29,118.35,57.03,3.31
161,Hailar,0,CN,1563738918,91,49.2,119.7,53.97,9.19
162,Chunskiy,23,RU,1563738918,96,56.08,99.63,50.01,1.32
163,Kuminskiy,95,RU,1563738918,96,58.67,66.57,64.23,3.67
164,Klaksvik,96,FO,1563738919,100,62.23,-6.59,53.6,11.41
165,Voznesenskoye,0,RU,1563738919,97,54.89,42.76,55.95,6.64
166,Komsomolskiy,90,RU,1563738919,84,67.55,63.78,52.53,11.25
167,Quatre Cocos,20,MU,1563738919,88,-20.21,57.76,70.0,6.93
168,Palmer,0,AU,1563738920,81,-34.85,139.16,51.01,13.87
169,Lata,0,IN,1563738920,83,30.78,78.62,41.19,0.81
170,Arteaga,5,MX,1563738920,33,25.45,-100.85,91.0,13.24
171,Hameenlinna,0,FI,1563738920,46,61.0,24.46,71.6,4.7
172,Loviisa,0,FI,1563738921,68,60.46,26.23,66.2,4.7
173,Tuskegee,40,US,1563738921,55,32.42,-85.69,91.99,3.36
174,Saint-Georges,7,CA,1563738921,77,46.12,-70.67,79.0,1.99
175,Hay River,20,CA,1563738921,37,60.82,-115.79,86.0,9.17
176,Cidreira,89,BR,1563738922,76,-30.17,-50.22,65.85,11.97
177,Saint George,20,GR,1563738922,47,39.45,22.34,78.8,6.93
178,Constitucion,75,MX,1563738922,46,23.99,-104.67,75.99,3.36
179,Abashiri,75,JP,1563738922,73,44.01,144.25,64.0,5.01
180,Grand Haven,1,US,1563738923,30,43.06,-86.23,86.0,8.05
181,San Patricio,0,PY,1563738923,70,-26.98,-56.83,73.23,8.7
182,Mount Gambier,53,AU,1563738923,87,-37.83,140.78,46.4,14.99
183,Adiake,20,CI,1563738851,94,5.29,-3.3,77.0,6.93
184,Vihti,0,FI,1563738924,72,60.42,24.32,68.0,8.05
185,Iralaya,0,HN,1563738924,63,15.0,-83.23,86.91,7.61
186,Ban Dung,100,TH,1563738924,85,17.7,103.25,76.83,4.92
187,Aldan,8,RU,1563738925,79,58.61,125.39,49.65,6.29
188,Belaya Gora,100,RU,1563738925,90,68.54,146.19,37.77,18.16
189,Seymchan,100,RU,1563738925,74,62.93,152.39,47.85,18.54
190,Ahipara,17,NZ,1563738925,75,-35.17,173.16,58.65,15.08
191,Kaduqli,4,SD,1563738926,84,11.01,29.72,75.21,4.45
192,Mackenzie,20,CA,1563738926,55,55.34,-123.09,66.2,2.24
193,Port Lincoln,93,AU,1563738926,75,-34.72,135.86,60.09,32.86
194,Kloulklubed,75,PW,1563738926,83,7.04,134.26,80.6,4.7
195,Cardoso,95,BR,1563738927,49,-20.08,-49.91,74.49,7.65
196,San Benito,73,CO,1563738927,61,6.13,-73.51,79.53,2.59
197,Kendal,10,ID,1563738927,79,-6.92,110.2,71.43,3.89
198,Alice Springs,0,AU,1563738927,64,-23.7,133.88,39.2,4.7
199,Geraldton,40,CA,1563738927,42,49.72,-86.95,66.2,8.05
200,Lasa,20,CY,1563738928,83,34.92,32.53,78.8,5.82
201,Luderitz,0,NA,1563738928,74,-26.65,15.16,56.49,3.09
202,Bambous Virieux,20,MU,1563738928,88,-20.34,57.76,70.0,6.93
203,Kropotkin,100,RU,1563738929,82,45.43,40.58,67.11,15.05
204,Miyang,100,CN,1563738929,96,24.4,103.44,60.45,3.51
205,Sterling,1,US,1563738929,50,39.0,-77.4,100.0,4.7
206,Iskateley,0,RU,1563738929,94,67.68,53.15,40.11,7.07
207,Socorro,1,US,1563738929,16,31.65,-106.3,104.0,4.7
208,Barcelos,4,BR,1563738930,66,-0.97,-62.93,84.75,3.85
209,Saldanha,13,PT,1563738930,43,41.42,-6.55,76.65,2.91
210,Pauini,45,BR,1563738930,53,-7.71,-67.0,88.35,0.72
211,Aklavik,75,CA,1563738931,71,68.22,-135.01,51.8,11.41
212,Cornwall,75,CA,1563738907,69,45.02,-74.73,86.0,6.93
213,Nikolskoye,100,RU,1563738931,59,59.7,30.79,64.4,2.77
214,Saint-Philippe,75,CA,1563738931,48,45.36,-73.48,87.8,4.7
215,Opuwo,0,NA,1563738931,47,-18.06,13.84,53.43,0.96
216,Yavatmal,55,IN,1563738932,72,20.39,78.13,81.87,7.65
217,Seoul,90,KR,1563738760,94,37.57,126.98,77.0,3.36
218,Bodaybo,100,RU,1563738932,76,57.85,114.2,51.27,3.47
219,Naryan-Mar,0,RU,1563738932,94,67.67,53.09,40.11,7.07
220,Rockport,40,US,1563738933,63,28.02,-97.05,93.2,19.46
221,Butaritari,10,KI,1563738933,69,3.07,172.79,84.03,5.99
222,Yar-Sale,95,RU,1563738933,77,66.83,70.83,61.17,6.62
223,Broome,0,GB,1563738933,60,52.47,1.45,71.01,5.82
224,Rio Grande,0,BR,1563738934,57,-32.03,-52.1,80.6,10.29
225,Vila do Maio,20,CV,1563738934,65,15.13,-23.22,80.6,9.17
226,Buba,100,GW,1563738934,93,11.59,-14.99,76.29,6.08
227,Numan,100,NG,1563738934,87,9.46,12.04,76.11,3.42
228,Lusambo,0,CD,1563738935,33,-4.97,23.44,72.69,1.54
229,Kitimat,75,CA,1563738935,56,54.02,-128.69,69.8,11.41
230,Pacific Grove,40,US,1563738935,68,36.62,-121.92,87.01,8.05
231,Tuatapere,17,NZ,1563738935,98,-46.13,167.69,43.0,6.44
232,Sainte-Savine,0,FR,1563738936,44,48.29,4.06,78.8,3.36
233,Hambantota,100,LK,1563738936,79,6.12,81.12,81.51,20.69
234,Mongu,0,ZM,1563738936,15,-15.27,23.14,54.87,5.06
235,Mahibadhoo,100,MV,1563738936,78,3.78,72.97,82.77,15.3
236,Dunedin,0,NZ,1563738937,99,-45.87,170.5,46.99,11.83
237,Homer,1,US,1563738937,68,59.64,-151.54,69.01,6.93
238,Patnos,64,TR,1563738937,42,39.23,42.86,69.09,4.45
239,Riyadh,0,SA,1563738781,13,24.63,46.72,95.0,8.05
240,Auki,67,NG,1563738938,70,12.18,6.51,79.53,13.91
241,Khatanga,0,RU,1563738938,50,71.98,102.47,67.65,5.01
242,Panama City,20,US,1563738777,70,30.16,-85.65,90.0,9.17
243,Aksu,0,KZ,1563738938,93,52.04,76.93,62.6,6.71
244,Leningradskiy,100,RU,1563738938,98,69.38,178.42,37.59,16.17
245,Barsovo,75,RU,1563738939,82,61.17,73.17,57.2,6.71
246,Batagay-Alyta,100,RU,1563738939,82,67.8,130.41,36.69,2.48
247,Rawson,100,AR,1563738939,53,-43.3,-65.11,43.17,8.66
248,Chipata,0,ZM,1563738939,63,-13.64,32.65,60.99,12.3
249,Palapye,0,BW,1563738940,80,-22.54,27.12,47.13,8.68
250,Kruisfontein,0,ZA,1563738940,26,-34.0,24.73,52.89,11.65
251,Pevek,100,RU,1563738940,92,69.7,170.27,34.71,24.07
252,Novikovo,15,RU,1563738941,84,51.15,37.89,61.35,3.8
253,Waipawa,0,NZ,1563738941,94,-39.94,176.59,37.0,1.63
254,Kosai,75,JP,1563738941,88,34.71,137.53,79.0,4.7
255,Chateaudun,0,FR,1563738659,50,48.08,1.33,77.0,4.7
256,Salalah,90,OM,1563738942,94,17.01,54.1,78.8,4.7
257,Saskylakh,81,RU,1563738942,51,71.97,114.09,55.05,14.38
258,Doha,0,QA,1563738821,75,25.29,51.53,93.2,3.36
259,Nuuk,75,GL,1563738942,76,64.17,-51.74,50.0,5.82
260,Bonavista,100,CA,1563738943,82,48.65,-53.11,52.0,4.0
261,Arlit,36,NE,1563738943,19,18.74,7.39,100.95,1.43
262,Cefalu,0,IT,1563738944,77,38.04,14.02,81.0,2.17
263,Grindavik,75,IS,1563738944,82,63.84,-22.43,63.0,16.11
264,Gurjaani,0,GE,1563738944,51,41.75,45.79,82.4,8.05
265,Watertown,40,US,1563738944,47,44.9,-97.12,78.8,9.17
266,Belmonte,0,PT,1563738697,60,40.36,-7.35,67.83,2.86
267,Sandwick,100,GB,1563738945,93,54.57,-2.89,66.0,10.29
268,Myitkyina,100,MM,1563738945,99,25.38,97.4,71.79,1.63
269,Talcahuano,75,CL,1563738945,62,-36.72,-73.12,53.6,17.22
270,Ostrovnoy,0,RU,1563738945,83,68.05,39.51,49.83,6.55
271,Narsaq,100,GL,1563738946,62,60.91,-46.05,57.2,4.7
272,Kovdor,100,RU,1563738946,71,67.56,30.47,60.63,4.25
273,Pangnirtung,40,CA,1563738946,81,66.15,-65.72,50.0,12.75
274,Cauquenes,0,CL,1563738946,78,-35.97,-72.32,46.05,8.46
275,Beysehir,0,TR,1563738947,52,37.68,31.72,62.61,9.75
276,Dinghai,20,CN,1563738947,83,26.28,119.79,80.6,6.71
277,Shenjiamen,100,CN,1563738947,88,29.96,122.3,79.53,20.87
278,Abbeville,0,FR,1563738947,72,50.11,1.83,69.8,3.36
279,Lamballe,0,FR,1563738947,77,48.47,-2.52,69.8,5.82
280,Zheleznodorozhnyy,40,RU,1563738948,77,55.75,38.0,66.0,2.24
281,Shar,88,NG,1563738948,94,7.3,8.73,73.77,5.01
282,Ode,65,NG,1563738949,96,8.45,4.32,72.51,6.51
283,Acapulco,75,MX,1563738949,62,16.86,-99.88,89.6,10.29
284,Gold Coast,0,AU,1563738818,100,-28.0,153.41,53.01,3.36
285,Lagoa,0,PT,1563738880,73,37.14,-8.45,73.4,6.93
286,Kavaratti,100,IN,1563738950,75,10.57,72.64,82.23,26.17
287,Henties Bay,7,NA,1563738950,94,-22.12,14.28,54.0,5.88
288,Tsiroanomandidy,13,MG,1563738950,86,-18.77,46.05,56.85,3.74
289,Roebourne,0,AU,1563738950,18,-20.77,117.15,63.33,11.45
290,Akdepe,0,TM,1563738950,39,42.05,59.39,84.2,6.93
291,Zhigansk,0,RU,1563738951,49,66.77,123.37,54.33,13.51
292,Whitehorse,75,CA,1563738951,67,60.72,-135.06,68.0,4.7
293,Nantucket,1,US,1563738951,78,41.28,-70.1,91.99,14.99
294,Kimbe,100,PG,1563738951,92,-5.56,150.15,74.13,2.98
295,Upington,0,ZA,1563738952,29,-28.46,21.24,51.8,8.05
296,Oparino,52,RU,1563738952,97,59.85,48.28,54.15,4.21
297,Kantang,100,TH,1563738952,92,7.42,99.52,74.49,1.57
298,Kodinsk,0,RU,1563738952,80,58.6,99.18,49.11,0.51
299,Beloha,0,MG,1563738952,70,-25.17,45.06,55.59,6.98
300,Nome,90,US,1563738953,83,30.04,-94.42,91.99,6.93
301,Mayumba,0,GA,1563738953,93,-3.44,10.65,70.71,6.98
302,Klichka,8,RU,1563738953,96,50.44,118.0,50.91,4.25
303,Issia,75,CI,1563738954,97,6.49,-6.58,71.61,5.12
304,Tymovskoye,92,RU,1563738954,92,50.85,142.66,63.69,1.03
305,Carauari,23,BR,1563738954,57,-4.88,-66.9,87.81,2.28
306,Porto Murtinho,28,BR,1563738954,41,-21.7,-57.88,86.19,8.52
307,Rudsar,20,IR,1563738954,74,37.14,50.29,78.8,2.24
308,Erenhot,88,CN,1563738955,48,43.65,111.97,77.19,5.55
309,Marrakesh,0,MA,1563738955,40,31.63,-7.99,87.8,12.75
310,Duluth,75,US,1563738956,72,46.77,-92.13,73.99,5.82
311,Azul,100,AR,1563738956,68,-36.78,-59.86,55.99,11.9
312,Morondava,0,MG,1563738956,67,-20.3,44.28,67.29,28.12
313,Pedernales,12,EC,1563738956,88,0.07,-80.05,73.05,21.07
314,Tra Vinh,100,VN,1563738661,91,9.93,106.35,76.47,5.26
315,Ostashkov,11,RU,1563738957,91,57.14,33.12,55.77,1.05
316,Montepuez,0,MZ,1563738957,65,-13.13,39.0,67.11,10.89
317,Ancud,20,CL,1563738957,81,-41.87,-73.83,44.6,10.29
318,Eldorado,64,BR,1563738957,80,-24.52,-48.11,63.15,1.63
319,North Ogden,1,US,1563738958,15,41.31,-111.96,95.0,10.92
320,Coquimbo,0,CL,1563738958,87,-29.95,-71.34,53.6,8.05
321,Gladstone,90,AU,1563738958,77,-23.84,151.26,62.6,5.82
322,Nanortalik,99,GL,1563738958,91,60.14,-45.24,39.75,3.38
323,Mahon,75,IE,1563738959,93,51.89,-8.4,64.4,21.92
324,Puerto Ayacucho,40,CO,1563738959,66,5.66,-67.63,86.0,3.36
325,Te Anau,33,NZ,1563738959,84,-45.41,167.72,44.43,1.01
326,Raudeberg,75,NO,1563738959,93,61.99,5.14,59.0,10.29
327,Srednekolymsk,100,RU,1563738959,77,67.46,153.71,40.83,13.18
328,Toora-Khem,0,RU,1563738960,94,52.47,96.11,43.89,2.01
329,Matagami,98,NG,1563738960,95,9.67,8.4,69.99,2.68
330,College,40,US,1563738960,68,64.86,-147.8,69.01,5.7
331,Douentza,15,ML,1563738960,31,15.01,-2.95,95.01,8.08
332,Iqaluit,40,CA,1563738961,87,63.75,-68.52,44.6,16.11
333,Harwich,20,US,1563738961,47,41.69,-70.08,96.01,10.29
334,Kamiiso,100,JP,1563738721,92,41.82,140.65,61.53,4.54
335,Tartagal,5,AR,1563738667,49,-22.52,-63.8,91.4,3.0
336,Aranda de Duero,0,ES,1563738961,67,41.67,-3.69,73.95,9.53
337,Cayenne,75,GF,1563738962,66,4.94,-52.33,84.2,9.17
338,Urla,0,TR,1563738962,30,38.32,26.77,84.2,16.11
339,West Bay,20,CA,1563738962,60,49.34,-123.21,86.0,8.05
340,Bao,2,BF,1563738962,48,13.0,-3.22,88.53,8.25
341,Glen Allen,40,US,1563738963,53,37.67,-77.51,102.99,3.36
342,Tabou,67,CI,1563738963,90,4.42,-7.36,74.49,6.89
343,Takoradi,13,GH,1563738963,91,4.89,-1.75,74.67,4.52
344,Ayan,90,IR,1563738963,33,38.23,44.7,67.83,6.6
345,Nizhneangarsk,100,RU,1563738964,92,55.78,109.57,52.17,1.59
346,North Bend,1,US,1563738964,68,43.41,-124.22,81.0,13.87
347,Sheksna,30,RU,1563738964,93,59.21,38.5,53.6,2.15
348,Pitimbu,40,BR,1563738965,78,-7.47,-34.81,78.8,14.99
349,Hofn,100,IS,1563738965,98,64.25,-15.21,40.65,6.4
350,Padang,44,ID,1563738965,79,-0.92,100.36,80.97,7.49
351,Tessalit,0,ML,1563738965,25,20.2,1.01,98.43,5.39
352,Tarazona,31,ES,1563738966,28,41.91,-1.72,93.2,13.87
353,Ust-Maya,0,RU,1563738966,59,60.42,134.54,54.69,0.85
354,Nyahururu,87,KE,1563738966,77,0.03,36.37,61.89,4.9
355,Santa Rosa,38,AR,1563738900,20,-36.62,-64.29,56.13,17.96
356,Ust-Omchug,96,RU,1563738967,55,61.13,149.63,51.45,4.7
357,Brawley,1,US,1563738967,25,32.98,-115.53,102.0,6.93
358,Hammerfest,20,NO,1563738967,56,70.66,23.68,69.8,9.17
359,Verkhnevilyuysk,0,RU,1563738967,74,63.45,120.31,57.21,2.89
360,Bheramara,100,BD,1563738967,80,24.02,89.0,81.51,9.66
361,Itaituba,20,BR,1563738968,49,-4.26,-55.99,89.6,11.41
362,Necochea,100,AR,1563738968,88,-38.55,-58.74,52.0,4.0
363,Shimoda,100,JP,1563738968,95,34.7,138.93,75.99,0.56
364,Statesboro,1,US,1563738969,47,32.45,-81.78,95.0,5.82
365,Kolosovka,20,RU,1563738969,73,56.47,73.61,56.49,7.4
366,Bubaque,100,GW,1563738969,83,11.28,-15.83,80.25,13.2
367,Ngaoundere,100,CM,1563738970,97,7.32,13.58,64.05,2.17
368,Castro-Urdiales,75,ES,1563738970,78,43.38,-3.22,73.4,3.36
369,Aswan,0,EG,1563738970,13,24.09,32.9,95.0,11.41
370,Spas,0,MK,1563738970,83,41.55,20.48,71.6,4.68
371,Port Moresby,20,PG,1563738971,94,-9.47,147.16,73.4,2.24
372,Bunia,55,CD,1563738971,95,1.56,30.25,63.87,2.13
373,Beira,20,ES,1563738971,83,43.2,-8.36,71.01,10.29
374,Puerto Escondido,5,MX,1563738971,62,15.86,-97.07,89.6,3.36
375,Samarai,100,PG,1563738972,95,-10.62,150.67,73.41,4.65
